iso_code,year,gdp_constant_usd,life_expectancy,population,co2,co2_per_capita,energy_per_capita,primary_energy_consumption
ABW,1990,1553993567.53506,72.546,62753.0,0.487,7.561,34868.008,2.292
ABW,1991,1677736082.04648,72.592,65896.0,0.531,7.981,36834.355,2.5
ABW,1992,1776426456.79667,72.717,69005.0,0.539,7.818,39116.551,2.746
ABW,1993,1906242252.98798,72.777,73685.0,0.649,9.123,38555.004,2.79
ABW,1994,2062628485.83087,72.796,77595.0,0.66,8.976,40968.719,3.062
ABW,1995,2115166597.09495,72.832,79805.0,0.707,9.313,44960.535,3.465
ABW,1996,2140247999.59914,72.856,83021.0,0.725,9.242,28751.375,2.284
ABW,1997,2291068600.65849,72.904,86301.0,0.758,9.35,45111.688,3.693
ABW,1998,2336706330.90095,72.94,88451.0,0.806,9.621,43778.629,3.693
ABW,1999,2365635733.00384,72.857,89659.0,0.81,9.363,42512.855,3.693
ABW,2000,2545966267.78226,72.939,90588.0,2.378,26.787,49568.207,4.417
ABW,2001,2652438618.61234,73.044,91439.0,2.407,26.652,50392.613,4.571
ABW,2002,2627374307.5502,73.135,92074.0,2.437,26.661,51469.32,4.725
ABW,2003,2656551420.08012,73.236,93128.0,2.561,27.741,56750.387,5.261
ABW,2004,2850313056.72604,73.223,95138.0,2.616,28.063,58649.285,5.487
ABW,2005,2839392433.63397,73.415,97635.0,2.719,28.849,62704.926,5.925
ABW,2006,2871404069.44201,73.498,99405.0,2.715,28.458,61848.48,5.914
ABW,2007,2960117372.63583,73.642,100150.0,2.821,29.205,62959.137,6.094
ABW,2008,3014457880.39871,73.783,100917.0,2.656,27.157,58413.715,5.725
ABW,2009,2662437285.4367,73.974,101604.0,2.627,26.526,57522.297,5.708
ABW,2010,2589660712.61171,74.297,101838.0,2.506,25.03,53389.605,5.358
ABW,2011,2676912524.28603,74.578,102591.0,2.499,24.743,42076.207,4.262
ABW,2012,2649051221.82866,74.841,104110.0,1.348,13.248,52292.039,5.34
ABW,2013,2819423912.92302,75.072,105675.0,0.861,8.395,50264.645,5.172
ABW,2014,2859631679.07374,75.261,106807.0,0.872,8.435,50628.816,5.245
ABW,2015,2962906703.91061,75.405,107906.0,0.898,8.615,51778.613,5.399
ABW,2016,2999478909.44476,75.54,108727.0,0.883,8.411,50017.652,5.246
ABW,2017,3104263601.09893,75.62,108735.0,0.89,8.421,51509.809,5.432
ABW,2018,3203987172.7481,75.88,108908.0,0.872,8.192,49515.113,5.248
ABW,2019,3243239612.14075,76.019,109203.0,0.828,7.732,51107.844,5.441
ABW,2020,2468170539.29889,75.406,108587.0,0.821,7.641,43496.941,4.637
ABW,2021,2831747261.74117,73.655,107700.0,0.857,7.971,46090.324,4.911
ABW,2022,3132944104.21046,76.226,107310.0,0.831,7.712,46090.324,4.911
ABW,2023,3374393790.1973,76.353,107359.0,0.867,8.033,46090.324,4.911
AFG,1990,6206547590.07403,45.118,12045660.0,2.024,0.168,2968.316,31.746
AFG,1991,6206547590.07403,45.521,12238879.0,1.914,0.156,1293.862,13.903
AFG,1992,6206547590.07403,46.569,13278974.0,1.482,0.112,760.342,9.168
AFG,1993,6206547590.07403,51.021,14943172.0,1.487,0.1,650.207,9.105
AFG,1994,6206547590.07403,50.969,16250794.0,1.454,0.089,570.403,8.816
AFG,1995,6206547590.07403,52.103,17065836.0,1.417,0.083,452.46,7.429
AFG,1996,6206547590.07403,52.83,17763266.0,1.37,0.077,425.906,7.286
AFG,1997,6206547590.07403,53.212,18452091.0,1.304,0.071,390.019,6.938
AFG,1998,6206547590.07403,52.487,19159996.0,1.279,0.067,365.121,6.752
AFG,1999,6206547590.07403,54.532,19887785.0,1.092,0.055,350.347,6.749
AFG,2000,6206547590.07403,55.005,20130327.0,1.047,0.052,302.595,5.914
AFG,2001,5621147630.73068,55.511,20284307.0,1.069,0.053,236.892,4.664
